anime,end,information,score,start
Kizumonogatari I: Tekketsu-hen,2016,"|Movie (1 eps)|Jan 2016 - Jan 2016|354,001 members|",8.41,2016
Kingdom 2nd Season,2014,"|TV (39 eps)|Jun 2013 - Mar 2014|76,547 members|",8.4,2013
Kingdom 3rd Season,NA,"|TV (? eps)|Apr 2020 - |34,975 members|",8.4,2020
Natsume Yuujinchou Roku Specials,2017,"|Special (2 eps)|Sep 2017 - Oct 2017|30,862 members|",8.4,2017
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,2018,"|TV (13 eps)|Oct 2018 - Dec 2018|833,564 members|",8.4,2018
Psycho-Pass,2013,"|TV (22 eps)|Oct 2012 - Mar 2013|1,162,866 members|",8.39,2012
Boku dake ga Inai Machi,2016,"|TV (12 eps)|Jan 2016 - Mar 2016|1,270,904 members|",8.39,2016
Cowboy Bebop: Tengoku no Tobira,2001,"|Movie (1 eps)|Sep 2001 - Sep 2001|263,744 members|",8.39,2001
Hotarubi no Mori e,2011,"|Movie (1 eps)|Sep 2011 - Sep 2011|533,154 members|",8.39,2011
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,2012,"|Movie (1 eps)|Oct 2012 - Oct 2012|158,402 members|",8.39,2012
Kamisama Hajimemashita: Kako-hen,2016,"|OVA (4 eps)|Aug 2015 - Aug 2016|110,672 members|",8.38,2015
Mahou Shoujo Madoka★Magica,2011,"|TV (12 eps)|Jan 2011 - Apr 2011|934,248 members|",8.38,2011
Major S6,2010,"|TV (25 eps)|Apr 2010 - Sep 2010|48,804 members|",8.38,2010
Shingeki no Kyojin: Kuinaki Sentaku,2015,"|OVA (2 eps)|Dec 2014 - Apr 2015|297,468 members|",8.38,2014
Uchuu Senkan Yamato 2199,2013,"|OVA (26 eps)|May 2012 - Oct 2013|90,540 members|",8.38,2012
Ookami to Koushinryou II,2009,"|TV (12 eps)|Jul 2009 - Sep 2009|384,217 members|",8.37,2009
Sakamichi no Apollon,2012,"|TV (12 eps)|Apr 2012 - Jun 2012|275,589 members|",8.37,2012
Boku no Hero Academia 2nd Season,2017,"|TV (25 eps)|Apr 2017 - Sep 2017|1,486,707 members|",8.37,2017
