anime,end,information,score,start
Kuroshitsuji Movie: Book of the Atlantic,2017,"|Movie (1 eps)|Jan 2017 - Jan 2017|126,025 members|",8.28,2017
Major S1,2005,"|TV (26 eps)|Nov 2004 - May 2005|77,965 members|",8.28,2004
Major S3,2007,"|TV (26 eps)|Jan 2007 - Jun 2007|54,652 members|",8.28,2007
Nodame Cantabile: Finale,2010,"|TV (11 eps)|Jan 2010 - Mar 2010|108,153 members|",8.28,2010
Ookami to Koushinryou,2008,"|TV (13 eps)|Jan 2008 - Mar 2008|623,359 members|",8.28,2008
Sennen Joyuu,2002,"|Movie (1 eps)|Sep 2002 - Sep 2002|122,594 members|",8.28,2002
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,2015,"|TV (13 eps)|Apr 2015 - Jun 2015|670,874 members|",8.28,2015
Space☆Dandy 2nd Season,2014,"|TV (13 eps)|Jul 2014 - Sep 2014|125,691 members|",8.27,2014
Yuru Camp△,2018,"|TV (12 eps)|Jan 2018 - Mar 2018|277,387 members|",8.27,2018
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,2017,"|Movie (1 eps)|Oct 2017 - Oct 2017|248,008 members|",8.27,2017
Kawaki wo Ameku,2019,"|Music (1 eps)|Jan 2019 - Jan 2019|15,911 members|",8.27,2019
Gintama: Shinyaku Benizakura-hen,2010,"|Special (1 eps)|Dec 2010 - Dec 2010|30,794 members|",8.26,2010
Hachimitsu to Clover II,2006,"|TV (12 eps)|Jun 2006 - Sep 2006|88,654 members|",8.26,2006
Major S2,2006,"|TV (26 eps)|Dec 2005 - Jun 2006|56,779 members|",8.26,2005
SKET Dance,2012,"|TV (77 eps)|Apr 2011 - Sep 2012|179,898 members|",8.26,2011
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,2015,"|Special (1 eps)|Dec 2015 - Dec 2015|171,646 members|",8.26,2015
Toradora!,2009,"|TV (25 eps)|Oct 2008 - Mar 2009|1,465,022 members|",8.26,2008
Toaru Kagaku no Railgun T,2020,"|TV (25 eps)|Jan 2020 - Sep 2020|126,899 members|",8.25,2020
xxxHOLiC Kei,2008,"|TV (13 eps)|Apr 2008 - Jun 2008|113,698 members|",8.25,2008
Detective Conan Movie 13: The Raven Chaser,2009,"|Movie (1 eps)|Apr 2009 - Apr 2009|43,606 members|",8.25,2009
Girls & Panzer Movie,2015,"|Movie (1 eps)|Nov 2015 - Nov 2015|75,440 members|",8.25,2015
Gyakkyou Burai Kaiji: Hakairoku-hen,2011,"|TV (26 eps)|Apr 2011 - Sep 2011|134,145 members|",8.25,2011
Initial D Final Stage,2014,"|TV (4 eps)|May 2014 - Jun 2014|80,451 members|",8.25,2014
Kono Sekai no Katasumi ni,2016,"|Movie (1 eps)|Nov 2016 - Nov 2016|115,083 members|",8.25,2016
Majo no Takkyuubin,1989,"|Movie (1 eps)|Jul 1989 - Jul 1989|357,198 members|",8.25,1989
Major S4,2008,"|TV (26 eps)|Jan 2008 - Jun 2008|51,723 members|",8.25,2008
Bakuman.,2011,"|TV (25 eps)|Oct 2010 - Apr 2011|473,800 members|",8.24,2010
Chihayafuru,2012,"|TV (25 eps)|Oct 2011 - Mar 2012|334,411 members|",8.24,2011
Douluo Dalu: Xiaowu Juebie,NA,"|ONA (? eps)|May 2020 - |3,255 members|",8.24,2020
Higurashi no Naku Koro ni Kai,2007,"|TV (24 eps)|Jul 2007 - Dec 2007|373,950 members|",8.24,2007
Kaguya-hime no Monogatari,2013,"|Movie (1 eps)|Nov 2013 - Nov 2013|138,090 members|",8.24,2013
Little Busters!: Refrain,2013,"|TV (13 eps)|Oct 2013 - Dec 2013|130,148 members|",8.24,2013
Mimi wo Sumaseba,1995,"|Movie (1 eps)|Jul 1995 - Jul 1995|212,543 members|",8.24,1995
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,2017,"|TV (25 eps)|Oct 2016 - Apr 2017|93,592 members|",8.24,2016
ReLIFE: Kanketsu-hen,2018,"|Special (4 eps)|Mar 2018 - Mar 2018|227,242 members|",8.24,2018
Shokugeki no Souma: Ni no Sara,2016,"|TV (13 eps)|Jul 2016 - Sep 2016|754,654 members|",8.24,2016
Trigun,1998,"|TV (26 eps)|Apr 1998 - Sep 1998|537,643 members|",8.24,1998
No Game No Life,2014,"|TV (12 eps)|Apr 2014 - Jun 2014|1,653,838 members|",8.23,2014
Noragami Aragoto,2015,"|TV (13 eps)|Oct 2015 - Dec 2015|981,685 members|",8.23,2015
Saiki Kusuo no Ψ-nan: Kanketsu-hen,2018,"|Special (1 eps)|Dec 2018 - Dec 2018|103,877 members|",8.23,2018
Wu Liuqi Zhi Zui Qiang Fa Xing Shi,2020,"|ONA (10 eps)|Oct 2019 - Jan 2020|9,815 members|",8.23,2019
xxxHOLiC Rou,2011,"|OVA (2 eps)|Apr 2010 - Mar 2011|56,375 members|",8.23,2010
Yoru wa Mijikashi Arukeyo Otome,2017,"|Movie (1 eps)|Apr 2017 - Apr 2017|76,667 members|",8.23,2017
Diamond no Ace: Act II,2020,"|TV (52 eps)|Apr 2019 - Mar 2020|50,812 members|",8.23,2019
Fate/stay night: Unlimited Blade Works,2014,"|TV (12 eps)|Oct 2014 - Dec 2014|699,713 members|",8.23,2014
Hajime no Ippo: Mashiba vs. Kimura,2003,"|OVA (1 eps)|Sep 2003 - Sep 2003|75,671 members|",8.23,2003
InuYasha: Kanketsu-hen,2010,"|TV (26 eps)|Oct 2009 - Mar 2010|203,764 members|",8.23,2009
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,2012,"|Movie (1 eps)|Oct 2012 - Oct 2012|156,404 members|",8.23,2012
Ballroom e Youkoso,2017,"|TV (24 eps)|Jul 2017 - Dec 2017|208,495 members|",8.22,2017
Berserk: Ougon Jidai-hen III - Kourin,2013,"|Movie (1 eps)|Feb 2013 - Feb 2013|151,635 members|",8.22,2013
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,2000,"|Movie (1 eps)|Jul 2000 - Jul 2000|94,301 members|",8.22,2000
Hinamatsuri,2018,"|TV (12 eps)|Apr 2018 - Jun 2018|329,565 members|",8.22,2018
Hunter x Hunter: Greed Island,2003,"|OVA (8 eps)|Feb 2003 - Apr 2003|111,091 members|",8.22,2003
Liz to Aoi Tori,2018,"|Movie (1 eps)|Apr 2018 - Apr 2018|76,778 members|",8.22,2018
Major: Message,2010,"|OVA (1 eps)|Dec 2010 - Dec 2010|24,407 members|",8.22,2010
Non Non Biyori Movie: Vacation,2018,"|Movie (1 eps)|Aug 2018 - Aug 2018|39,590 members|",8.22,2018
Quanzhi Gaoshou Zhi Dianfeng Rongyao,2019,"|Movie (1 eps)|Aug 2019 - Aug 2019|26,678 members|",8.22,2019
Senki Zesshou Symphogear XV,2019,"|TV (13 eps)|Jul 2019 - Sep 2019|27,326 members|",8.22,2019
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,2013,"|Special (1 eps)|Aug 2013 - Aug 2013|42,098 members|",8.21,2013
Sakura-sou no Pet na Kanojo,2013,"|TV (24 eps)|Oct 2012 - Mar 2013|873,124 members|",8.21,2012
Toki wo Kakeru Shoujo,2006,"|Movie (1 eps)|Jul 2006 - Jul 2006|598,591 members|",8.21,2006
Working!!!: Lord of the Takanashi,2016,"|Special (1 eps)|Mar 2016 - Mar 2016|80,788 members|",8.21,2016
Aria the Natural,2006,"|TV (26 eps)|Apr 2006 - Sep 2006|62,339 members|",8.21,2006
Bungou Stray Dogs 2nd Season,2016,"|TV (12 eps)|Oct 2016 - Dec 2016|444,243 members|",8.21,2016
Death Parade,2015,"|TV (12 eps)|Jan 2015 - Mar 2015|1,134,490 members|",8.21,2015
Fruits Basket 1st Season,2019,"|TV (25 eps)|Apr 2019 - Sep 2019|337,660 members|",8.21,2019
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,2019,"|Movie (4 eps)|Nov 2019 - Nov 2019|14,149 members|",8.21,2019
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,2015,"|Movie (1 eps)|Apr 2015 - Apr 2015|180,335 members|",8.21,2015
Black Lagoon: The Second Barrage,2006,"|TV (12 eps)|Oct 2006 - Dec 2006|365,379 members|",8.2,2006
Ouran Koukou Host Club,2006,"|TV (26 eps)|Apr 2006 - Sep 2006|782,336 members|",8.2,2006
Tsuki ga Kirei,2017,"|TV (12 eps)|Apr 2017 - Jun 2017|338,190 members|",8.2,2017
One Piece Film: Z,2012,"|Movie (1 eps)|Dec 2012 - Dec 2012|172,995 members|",8.19,2012
One Piece Movie 14: Stampede,2019,"|Movie (1 eps)|Aug 2019 - Aug 2019|67,668 members|",8.19,2019
Shoujo Kakumei Utena,1997,"|TV (39 eps)|Apr 1997 - Dec 1997|150,803 members|",8.19,1997
Shoujo Shuumatsu Ryokou,2017,"|TV (12 eps)|Oct 2017 - Dec 2017|219,327 members|",8.19,2017
Asobi Asobase,2018,"|TV (12 eps)|Jul 2018 - Sep 2018|261,495 members|",8.19,2018
Digimon Adventure: Last Evolution Kizuna,2020,"|Movie (1 eps)|Feb 2020 - Feb 2020|22,041 members|",8.19,2020
Dororo,2019,"|TV (24 eps)|Jan 2019 - Jun 2019|624,537 members|",8.19,2019
Durarara!!,2010,"|TV (24 eps)|Jan 2010 - Jun 2010|1,067,100 members|",8.19,2010
Golden Kamuy 2nd Season,2018,"|TV (12 eps)|Oct 2018 - Dec 2018|101,382 members|",8.19,2018
Katekyo Hitman Reborn!,2010,"|TV (203 eps)|Oct 2006 - Sep 2010|448,421 members|",8.19,2006
Maison Ikkoku,1988,"|TV (96 eps)|Mar 1986 - Mar 1988|49,039 members|",8.19,1986
Detective Conan Movie 20: The Darkest Nightmare,2016,"|Movie (1 eps)|Apr 2016 - Apr 2016|26,902 members|",8.18,2016
Fullmetal Alchemist,2004,"|TV (51 eps)|Oct 2003 - Oct 2004|1,109,876 members|",8.18,2003
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,2020,"|TV (12 eps)|Apr 2020 - Jun 2020|90,266 members|",8.18,2020
Kanata no Astra,2019,"|TV (12 eps)|Jul 2019 - Sep 2019|182,914 members|",8.18,2019
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,2012,"|Movie (1 eps)|Jul 2012 - Jul 2012|20,257 members|",8.18,2012
Nisemonogatari,2012,"|TV (11 eps)|Jan 2012 - Mar 2012|549,491 members|",8.18,2012
Nodame Cantabile: Paris-hen,2008,"|TV (11 eps)|Oct 2008 - Dec 2008|105,493 members|",8.18,2008
Non Non Biyori Repeat,2015,"|TV (12 eps)|Jul 2015 - Sep 2015|135,694 members|",8.18,2015
One Piece Film: Strong World,2009,"|Movie (1 eps)|Dec 2009 - Dec 2009|166,766 members|",8.18,2009
Shokugeki no Souma: San no Sara,2017,"|TV (12 eps)|Oct 2017 - Dec 2017|610,908 members|",8.18,2017
Seirei no Moribito,2007,"|TV (26 eps)|Apr 2007 - Sep 2007|173,923 members|",8.17,2007
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,2008,"|Movie (1 eps)|Sep 2008 - Sep 2008|127,202 members|",8.17,2008
Akira,1988,"|Movie (1 eps)|Jul 1988 - Jul 1988|529,032 members|",8.17,1988
Angel Beats!,2010,"|TV (13 eps)|Apr 2010 - Jun 2010|1,515,002 members|",8.17,2010
Bungou Stray Dogs 3rd Season,2019,"|TV (12 eps)|Apr 2019 - Jun 2019|268,291 members|",8.17,2019
Detective Conan,NA,"|TV (? eps)|Jan 1996 - |239,722 members|",8.17,1996
Dragon Ball Z,1996,"|TV (291 eps)|Apr 1989 - Jan 1996|841,343 members|",8.17,1989
Eizouken ni wa Te wo Dasu na!,2020,"|TV (12 eps)|Jan 2020 - Mar 2020|186,889 members|",8.17,2020
Gankutsuou,2005,"|TV (24 eps)|Oct 2004 - Mar 2005|186,857 members|",8.17,2004
Kaiba,2008,"|TV (12 eps)|Apr 2008 - Jul 2008|110,176 members|",8.17,2008
Kamisama Hajimemashita◎,2015,"|TV (12 eps)|Jan 2015 - Mar 2015|233,639 members|",8.17,2015
Karakai Jouzu no Takagi-san 2,2019,"|TV (12 eps)|Jul 2019 - Sep 2019|167,637 members|",8.17,2019
Kuroko no Basket,2012,"|TV (25 eps)|Apr 2012 - Sep 2012|762,224 members|",8.17,2012
Lupin III: Part 5,2018,"|TV (24 eps)|Apr 2018 - Sep 2018|27,472 members|",8.17,2018
Mobile Suit Gundam Unicorn,2014,"|OVA (7 eps)|Mar 2010 - Jun 2014|74,875 members|",8.17,2010
Cardcaptor Sakura,2000,"|TV (70 eps)|Apr 1998 - Mar 2000|325,978 members|",8.16,1998
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,2018,"|Movie (1 eps)|Jan 2018 - Jan 2018|147,014 members|",8.16,2018
Detective Conan Movie 14: The Lost Ship in the Sky,2010,"|Movie (1 eps)|Apr 2010 - Apr 2010|40,968 members|",8.16,2010
Douluo Dalu: Jingying Sai,2019,"|ONA (52 eps)|Dec 2018 - Nov 2019|9,046 members|",8.16,2018
Initial D Fourth Stage,2006,"|TV (24 eps)|Apr 2004 - Feb 2006|111,130 members|",8.16,2004
K-On!!,2010,"|TV (26 eps)|Apr 2010 - Sep 2010|483,269 members|",8.16,2010
Kono Subarashii Sekai ni Shukufuku wo!,2016,"|TV (10 eps)|Jan 2016 - Mar 2016|1,198,907 members|",8.16,2016
Naruto: Shippuuden,2017,"|TV (500 eps)|Feb 2007 - Mar 2017|1,419,619 members|",8.16,2007
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,2019,"|ONA (6 eps)|Dec 2019 - Dec 2019|94,740 members|",8.16,2019
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,2012,"|Special (1 eps)|Aug 2012 - Aug 2012|50,145 members|",8.15,2012
Princess Tutu,2003,"|TV (38 eps)|Aug 2002 - May 2003|126,180 members|",8.15,2002
Baccano! Specials,2008,"|Special (3 eps)|Feb 2008 - May 2008|149,709 members|",8.15,2008
Detroit Metal City,2008,"|OVA (12 eps)|Aug 2008 - Oct 2008|172,946 members|",8.15,2008
Ginga Eiyuu Densetsu Gaiden,1998,"|OVA (24 eps)|Feb 1998 - Sep 1998|17,838 members|",8.15,1998
Hyouka,2012,"|TV (22 eps)|Apr 2012 - Sep 2012|883,372 members|",8.15,2012
Kuroshitsuji: Book of Circus,2014,"|TV (10 eps)|Jul 2014 - Sep 2014|280,033 members|",8.15,2014
Lupin III: Cagliostro no Shiro,1979,"|Movie (1 eps)|Dec 1979 - Dec 1979|78,633 members|",8.15,1979
Mahoutsukai no Yome: Hoshi Matsu Hito,2017,"|OVA (3 eps)|Sep 2016 - Sep 2017|213,898 members|",8.15,2016
Mobile Suit Gundam 00,2008,"|TV (25 eps)|Oct 2007 - Mar 2008|180,141 members|",8.15,2007
Boku no Hero Academia,2016,"|TV (13 eps)|Apr 2016 - Jun 2016|1,761,362 members|",8.14,2016
Detective Conan Movie 05: Countdown to Heaven,2001,"|Movie (1 eps)|Apr 2001 - Apr 2001|46,670 members|",8.14,2001
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,2006,"|Special (1 eps)|Sep 2006 - Sep 2006|84,488 members|",8.14,2006
Kuragehime,2010,"|TV (11 eps)|Oct 2010 - Dec 2010|178,025 members|",8.14,2010
Kuroshitsuji: Book of Murder,2015,"|OVA (2 eps)|Jan 2015 - Feb 2015|174,533 members|",8.14,2015
Skip Beat!,2009,"|TV (25 eps)|Oct 2008 - Mar 2009|213,486 members|",8.14,2008
Tsukimonogatari,2014,"|TV (4 eps)|Dec 2014 - Dec 2014|302,969 members|",8.14,2014
Uchouten Kazoku 2,2017,"|TV (12 eps)|Apr 2017 - Jun 2017|50,059 members|",8.14,2017
Tsubasa: Shunraiki,2009,"|OVA (2 eps)|Mar 2009 - May 2009|54,376 members|",8.13,2009
Yowamushi Pedal: Grande Road,2015,"|TV (24 eps)|Oct 2014 - Mar 2015|103,069 members|",8.13,2014
Zankyou no Terror,2014,"|TV (11 eps)|Jul 2014 - Sep 2014|785,531 members|",8.13,2014
Ansatsu Kyoushitsu,2015,"|TV (22 eps)|Jan 2015 - Jun 2015|1,159,105 members|",8.13,2015
Diamond no Ace,2015,"|TV (75 eps)|Oct 2013 - Mar 2015|173,483 members|",8.13,2013
Douluo Dalu: Qian Hua Xi Jin,2020,"|ONA (13 eps)|Feb 2020 - May 2020|2,654 members|",8.13,2020
Initial D Second Stage,2000,"|TV (13 eps)|Oct 1999 - Jan 2000|127,722 members|",8.13,1999
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,2003,"|Music (1 eps)|Dec 2003 - Dec 2003|55,604 members|",8.13,2003
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,2014,"|TV (24 eps)|Apr 2014 - Sep 2014|637,185 members|",8.13,2014
Kaze Tachinu,2013,"|Movie (1 eps)|Jul 2013 - Jul 2013|196,063 members|",8.13,2013
Made in Abyss Movie 1: Tabidachi no Yoake,2019,"|Movie (1 eps)|Jan 2019 - Jan 2019|57,111 members|",8.13,2019
Darker than Black: Kuro no Keiyakusha,2007,"|TV (25 eps)|Apr 2007 - Sep 2007|737,336 members|",8.12,2007
Gin no Saji,2013,"|TV (11 eps)|Jul 2013 - Sep 2013|223,886 members|",8.12,2013
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,1993,"|Movie (1 eps)|Dec 1993 - Dec 1993|25,332 members|",8.12,1993
Haikyuu!! Movie 4: Concept no Tatakai,2017,"|Movie (1 eps)|Sep 2017 - Sep 2017|35,984 members|",8.12,2017
Kill la Kill,2014,"|TV (24 eps)|Oct 2013 - Mar 2014|1,215,190 members|",8.12,2013
Kuroko no Basket: Saikou no Present Desu,2015,"|Special (1 eps)|Dec 2015 - Dec 2015|67,132 members|",8.12,2015
Mobile Suit Gundam 00 Second Season,2009,"|TV (25 eps)|Oct 2008 - Mar 2009|124,247 members|",8.12,2008
Omoide no Marnie,2014,"|Movie (1 eps)|Jul 2014 - Jul 2014|177,370 members|",8.12,2014
Shijou Saikyou no Deshi Kenichi,2007,"|TV (50 eps)|Oct 2006 - Sep 2007|235,679 members|",8.12,2006
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,2011,"|OVA (13 eps)|Feb 2011 - Jul 2011|57,511 members|",8.11,2011
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,2018,"|TV (12 eps)|Apr 2018 - Jun 2018|441,909 members|",8.11,2018
Tamayura: Sotsugyou Shashin Part 4 - Ashita,2016,"|Movie (1 eps)|Apr 2016 - Apr 2016|7,851 members|",8.11,2016
Tanoshii Muumin Ikka,1991,"|TV (78 eps)|Apr 1990 - Oct 1991|17,314 members|",8.11,1990
Boku no Hero Academia the Movie 2: Heroes:Rising,2019,"|Movie (1 eps)|Dec 2019 - Dec 2019|231,364 members|",8.11,2019
Detective Conan Movie 08: Magician of the Silver Sky,2004,"|Movie (1 eps)|Apr 2004 - Apr 2004|41,797 members|",8.11,2004
Dorohedoro,2020,"|TV (12 eps)|Jan 2020 - Mar 2020|221,417 members|",8.11,2020
Dragon Ball Super Movie: Broly,2018,"|Movie (1 eps)|Dec 2018 - Dec 2018|183,804 members|",8.11,2018
Durarara!!x2 Ketsu,2016,"|TV (12 eps)|Jan 2016 - Mar 2016|285,740 members|",8.11,2016
Fate/stay night: Unlimited Blade Works Prologue,2014,"|Special (1 eps)|Oct 2014 - Oct 2014|231,057 members|",8.11,2014
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,2015,"|Special (1 eps)|Nov 2015 - Nov 2015|23,678 members|",8.11,2015
Gosick,2011,"|TV (24 eps)|Jan 2011 - Jul 2011|417,275 members|",8.11,2011
Hajime no Ippo: Boxer no Kobushi,2003,"|Special (1 eps)|Mar 2003 - Mar 2003|37,842 members|",8.11,2003
High Score Girl II,2019,"|TV (9 eps)|Oct 2019 - Dec 2019|76,088 members|",8.11,2019
Hikaru no Go,2003,"|TV (75 eps)|Oct 2001 - Mar 2003|108,467 members|",8.11,2001
Akatsuki no Yona OVA,2016,"|OVA (3 eps)|Sep 2015 - Dec 2016|91,646 members|",8.1,2015
Boku no Hero Academia 4th Season,2020,"|TV (25 eps)|Oct 2019 - Apr 2020|834,980 members|",8.1,2019
Dennou Coil,2007,"|TV (26 eps)|May 2007 - Dec 2007|119,639 members|",8.1,2007
Detective Conan Movie 18: The Sniper from Another Dimension,2014,"|Movie (1 eps)|Apr 2014 - Apr 2014|29,786 members|",8.1,2014
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,2015,"|Special (1 eps)|Apr 2015 - Apr 2015|29,068 members|",8.1,2015
Hidamari Sketch: Sae Hiro Sotsugyou-hen,2013,"|OVA (2 eps)|Nov 2013 - Nov 2013|10,858 members|",8.1,2013
JoJo no Kimyou na Bouken (TV),2013,"|TV (26 eps)|Oct 2012 - Apr 2013|890,372 members|",8.1,2012
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",2016,"|OVA (1 eps)|Dec 2016 - Dec 2016|38,947 members|",8.1,2016
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,2005,"|Special (1 eps)|Sep 2005 - Sep 2005|34,253 members|",8.1,2005
Koukyoushihen Eureka Seven,2006,"|TV (50 eps)|Apr 2005 - Apr 2006|372,700 members|",8.1,2005
Mahoutsukai no Yome,2018,"|TV (24 eps)|Oct 2017 - Mar 2018|594,409 members|",8.1,2017
Nagi no Asu kara,2014,"|TV (26 eps)|Oct 2013 - Apr 2014|449,884 members|",8.1,2013
Promare,2019,"|Movie (1 eps)|May 2019 - May 2019|153,337 members|",8.1,2019
Summer Wars,2009,"|Movie (1 eps)|Aug 2009 - Aug 2009|413,473 members|",8.1,2009
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,2016,"|OVA (1 eps)|Oct 2016 - Oct 2016|164,124 members|",8.1,2016
Tsumiki no Ie,2008,"|Movie (1 eps)|Jun 2008 - Jun 2008|75,664 members|",8.09,2008
Detective Conan Movie 10: Requiem of the Detectives,2006,"|Movie (1 eps)|Apr 2006 - Apr 2006|41,128 members|",8.09,2006
Eve no Jikan,2009,"|ONA (6 eps)|Aug 2008 - Sep 2009|150,607 members|",8.09,2008
Glass no Kamen (2005),2006,"|TV (51 eps)|Apr 2005 - Mar 2006|30,238 members|",8.09,2005
Haikyuu!! Movie 3: Sainou to Sense,2017,"|Movie (1 eps)|Sep 2017 - Sep 2017|38,180 members|",8.09,2017
IDOLiSH7: Second Beat!,2020,"|TV (15 eps)|Apr 2020 - Dec 2020|13,430 members|",8.1,2020
Initial D Fifth Stage,2013,"|TV (14 eps)|Nov 2012 - May 2013|86,063 members|",8.09,2012
Kami nomi zo Shiru Sekai: Megami-hen,2013,"|TV (12 eps)|Jul 2013 - Sep 2013|265,683 members|",8.09,2013
Mirai Shounen Conan,1978,"|TV (26 eps)|Apr 1978 - Oct 1978|34,691 members|",8.09,1978
Baby Steps 2nd Season,2015,"|TV (25 eps)|Apr 2015 - Sep 2015|73,750 members|",8.08,2015
Beastars,2019,"|TV (12 eps)|Oct 2019 - Dec 2019|397,478 members|",8.08,2019
Clannad,2008,"|TV (23 eps)|Oct 2007 - Mar 2008|1,051,129 members|",8.08,2007
Evangelion: 1.0 You Are (Not) Alone,2007,"|Movie (1 eps)|Sep 2007 - Sep 2007|350,113 members|",8.08,2007
Full Metal Panic? Fumoffu,2003,"|TV (12 eps)|Aug 2003 - Oct 2003|250,163 members|",8.08,2003
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,2019,"|Movie (4 eps)|Oct 2019 - Oct 2019|14,008 members|",8.08,2019
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,2005,"|Special (1 eps)|Sep 2005 - Sep 2005|44,438 members|",8.08,2005
Kara no Kyoukai 3: Tsuukaku Zanryuu,2008,"|Movie (1 eps)|Feb 2008 - Feb 2008|176,308 members|",8.08,2008
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,2017,"|OVA (1 eps)|Jul 2017 - Jul 2017|222,450 members|",8.08,2017
Kotonoha no Niwa,2013,"|Movie (1 eps)|May 2013 - May 2013|544,392 members|",8.08,2013
Kuroko no Basket Movie 4: Last Game,2017,"|Movie (1 eps)|Mar 2017 - Mar 2017|159,211 members|",8.08,2017
Magi: The Labyrinth of Magic,2013,"|TV (25 eps)|Oct 2012 - Mar 2013|736,757 members|",8.08,2012
Mobile Suit Gundam: The Origin - Advent of the Red Comet,2019,"|TV (13 eps)|Apr 2019 - Aug 2019|10,004 members|",8.08,2019
Quanzhi Gaoshou 2,2020,"|ONA (12 eps)|Sep 2020 - Dec 2020|68,694 members|",8.08,2020
Saiunkoku Monogatari 2nd Season,2008,"|TV (39 eps)|Apr 2007 - Mar 2008|34,031 members|",8.08,2007
Tensei shitara Slime Datta Ken,2019,"|TV (24 eps)|Oct 2018 - Mar 2019|667,267 members|",8.08,2018
xxxHOLiC Shunmuki,2009,"|OVA (2 eps)|Feb 2009 - Jun 2009|58,082 members|",8.08,2009
Yuusha-Ou GaoGaiGar Final,2003,"|OVA (8 eps)|Jan 2000 - Mar 2003|7,703 members|",8.08,2000
Paprika,2006,"|Movie (1 eps)|Nov 2006 - Nov 2006|350,983 members|",8.07,2006
Saint Seiya: Meiou Hades Juuni Kyuu-hen,2003,"|OVA (13 eps)|Nov 2002 - Jul 2003|43,975 members|",8.07,2002
Toaru Kagaku no Railgun S,2013,"|TV (24 eps)|Apr 2013 - Sep 2013|281,009 members|",8.07,2013
Tokyo Magnitude 8.0,2009,"|TV (11 eps)|Jul 2009 - Sep 2009|228,639 members|",8.07,2009
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,2013,"|TV (13 eps)|Apr 2013 - Jun 2013|918,643 members|",8.07,2013
Ginga Eiyuu Densetsu Gaiden (1999),2001,"|OVA (28 eps)|Dec 1999 - Jun 2001|15,363 members|",8.07,1999
Gintama: Dai Hanseikai,2010,"|Special (1 eps)|Mar 2010 - Mar 2010|27,923 members|",8.07,2010
Hachimitsu to Clover,2005,"|TV (24 eps)|Apr 2005 - Sep 2005|208,963 members|",8.07,2005
High Score Girl: Extra Stage,2019,"|OVA (3 eps)|Mar 2019 - Mar 2019|47,992 members|",8.07,2019
Juuni Kokuki,2003,"|TV (45 eps)|Apr 2002 - Aug 2003|111,370 members|",8.07,2002
Kaichou wa Maid-sama!,2010,"|TV (26 eps)|Apr 2010 - Sep 2010|823,461 members|",8.07,2010
Kyou kara Ore wa!!,1997,"|OVA (10 eps)|Dec 1992 - Dec 1997|22,064 members|",8.07,1992
Lovely★Complex,2007,"|TV (24 eps)|Apr 2007 - Sep 2007|418,575 members|",8.07,2007
Akatsuki no Yona,2015,"|TV (24 eps)|Oct 2014 - Mar 2015|558,872 members|",8.06,2014
BanG Dream! 3rd Season,2020,"|TV (13 eps)|Jan 2020 - Apr 2020|19,082 members|",8.06,2020
Black Lagoon,2006,"|TV (12 eps)|Apr 2006 - Jun 2006|668,153 members|",8.06,2006
Black Lagoon: Roberta's Blood Trail,2011,"|OVA (5 eps)|Jun 2010 - Jun 2011|200,979 members|",8.06,2010
City Hunter 2,1989,"|TV (63 eps)|Apr 1988 - Jul 1989|17,903 members|",8.06,1988
D.Gray-man,2008,"|TV (103 eps)|Oct 2006 - Sep 2008|554,622 members|",8.06,2006
Eve no Jikan (Movie),2010,"|Movie (1 eps)|Mar 2010 - Mar 2010|104,757 members|",8.06,2010
Girls & Panzer: Saishuushou Part 2,2019,"|Movie (1 eps)|Jun 2019 - Jun 2019|17,068 members|",8.06,2019
